ID, x, y, age
473,59,49,38
474,96,100,39
475,83,74,69
476,92,80,36
477,85,92,86
478,46,37,54
479,37,39,70
480,10,27,3
481,20,66,1
482,67,79,89
483,66,71,45
484,36,44,57
485,86,22,60
486,59,90,15
487,43,49,34
488,60,25,79
489,39,100,66
490,14,96,60
491,64,50,3
492,37,65,43
493,31,70,92
494,90,2,67
495,88,54,60
496,66,18,53
497,94,68,21
498,10,15,19
499,14,54,60
