ID, x, y, age
268,1669,2621,84
269,3383,1322,79
270,604,8334,75
271,4649,1249,52
272,487,6805,3
273,2443,4999,71
274,3032,4201,60
275,5307,8486,39
276,1112,7872,99
277,6552,3787,85
278,2999,4447,15
279,9907,23,32
280,1089,3494,45
281,8776,7556,76
282,776,5101,60
283,5594,7024,64
284,919,5510,79
285,1987,3432,40
286,1913,4392,54
287,9209,8431,72
288,7673,727,40
289,9500,59,94
290,6752,6867,82
291,7108,3584,13
292,3552,1737,9
293,9479,7301,6
294,2137,4768,4
295,1116,2061,44
296,2947,9201,75
297,462,976,75
298,2679,8234,77
299,7832,6193,34
300,6238,9978,54
301,2523,3803,73
302,2140,3737,45
303,3190,1111,12
304,3760,9929,46
305,4803,702,89
306,9211,1743,35
307,4787,3903,71
308,2071,3656,33
309,4036,5902,16
310,8491,1406,65
311,4328,4105,69
312,1445,4278,86
313,639,726,93
314,5092,9304,43
315,6361,9937,53
316,5945,7427,20
317,2008,9756,18
318,1332,5707,56
319,740,8752,64
320,4589,1158,30
321,2572,241,67
322,1277,5837,25
323,8994,3124,4
324,3650,1610,10
325,6349,7091,32
326,7095,3145,97
327,9694,7717,44
328,3833,2911,23
329,2619,2225,36
330,9730,4655,76
331,5260,3783,28
332,4835,9446,34
333,6191,8523,2
334,6098,7798,49
335,6076,4735,35
336,7984,5784,79
337,9441,9191,58
338,835,6217,60
339,3378,5212,93
340,7391,7274,99
341,5570,8700,82
342,2728,2852,43
343,6570,1150,70
344,9022,7512,77
345,596,828,58
346,4684,8757,28
347,5803,5474,20
348,500,6770,94
349,6945,6091,79
350,7363,7961,80
351,1229,4591,87
352,9686,8871,97
353,2874,1227,3
354,8239,184,47
355,9924,1208,17
356,4664,850,99
357,5693,4296,32
358,7689,1294,77
359,4247,458,30
360,2720,4393,87
361,4994,7830,28
362,4302,7904,15
363,3369,8707,40
364,7855,3308,43
365,2909,6266,31
366,6996,771,83
367,1538,787,59
368,3251,5525,92
369,4813,88,14
370,2924,9355,50
371,5078,4189,48
372,3409,2671,25
373,8221,1731,18
374,325,3617,26
375,6366,8744,14
376,5091,440,73
377,7167,2582,42
378,4866,7156,55
379,749,7893,8
380,2745,8481,96
381,6807,3383,70
382,7767,1586,49
383,8440,239,90
384,4657,215,99
385,8489,430,59
386,8498,8368,80
387,7271,289,23
388,7027,50,26
389,8551,5526,27
390,9631,4045,60
391,4131,3131,98
392,7255,9333,32
393,7704,1145,36
394,5905,1076,92
395,9261,4287,28
396,6583,7993,80
397,9897,9452,98
398,7485,5785,62
399,8603,6560,33
400,4176,1970,65
401,5595,5987,70
402,6430,199,58
403,5796,5559,54
404,9105,3915,3
405,6205,7411,60
406,1497,1911,35
407,8051,5247,65
408,1556,9333,56
409,8903,5543,63
410,3477,5051,17
411,9977,1899,50
412,3164,8204,8
413,278,5036,19
414,1477,9974,42
415,784,2072,37
416,4355,7893,13
417,2601,6025,30
418,6751,1088,61
419,4704,6040,62
420,6883,6495,49
421,5611,2020,68
422,266,2699,93
423,7383,1510,45
424,9609,8718,5
425,9737,6917,73
426,2007,7347,98
427,733,2982,96
428,7796,2646,83
429,2350,3531,4
430,9917,1317,59
431,8192,7213,61
432,1524,5975,73
433,4659,374,57
434,3727,6090,76
435,3728,1942,19
436,2586,4149,68
437,8467,5141,56
438,9834,8177,100
439,5837,7451,70
440,39,6281,37
441,2375,3476,39
442,2745,4683,52
443,5223,6532,47
444,1858,7314,46
445,572,4568,68
446,902,4433,13
447,9350,1962,45
448,6513,5003,27
449,678,9003,31
450,6302,6785,9
451,412,2261,24
452,1181,882,26
453,6819,8746,25
454,9784,1133,68
455,5964,9889,84
456,840,9684,59
457,2184,4161,2
458,7194,913,56
459,5073,2543,6
460,5229,3350,38
461,2355,2173,29
462,1264,6192,68
463,6557,4235,61
464,9916,5386,26
465,3370,1808,85
466,2039,6134,10
467,9182,1630,35
468,7472,5028,81
469,6237,1799,84
470,6615,9953,40
471,1506,3287,10
472,7086,3639,92
473,6570,261,13
474,2690,3172,90
475,1866,4881,57
476,9939,7352,3
477,3906,9275,93
478,2097,8598,55
479,2853,2956,33
480,7338,667,22
481,7981,609,35
482,8334,4752,38
483,2522,9919,99
484,4198,1010,54
485,7391,6060,92
486,3074,1588,56
487,3131,8632,14
488,9486,7655,93
489,1554,7822,11
490,7505,6579,98
491,7026,557,51
492,2824,6132,65
493,1869,6444,20
494,8774,1770,99
495,6374,8700,77
496,9107,2486,60
497,2562,1042,66
498,6546,8091,62
499,1820,6153,62
500,5119,8982,48
501,897,2123,58
502,469,7408,73
503,9841,7754,69
504,5102,8706,32
505,7786,4173,25
506,9510,2001,96
507,56,4418,27
508,5472,8807,92
509,7351,4343,83
510,9033,4548,30
511,7685,7920,18
512,3036,6672,13
513,9136,6149,85
514,7201,3042,95
515,522,3297,26
516,3458,270,68
517,7935,3112,22
518,3081,3720,18
519,4421,5422,81
520,5631,49,27
521,8541,5501,68
522,556,1582,48
523,159,9644,40
524,1598,8093,12
525,352,6321,72
526,8014,3790,76
527,239,1378,52
528,9940,579,53
529,7681,5989,58
530,7211,2826,49
531,5477,605,1
532,6961,2430,30
533,8542,7471,75
534,2301,3980,74
535,787,7940,58
536,8807,3972,64
537,5247,4916,27
538,6704,8874,49
539,4941,2049,7
540,627,3580,99
541,1048,1283,53
542,6518,4728,7
543,7459,2793,68
544,7078,8205,17
545,6406,4024,8
546,8710,994,95
547,509,6331,18
548,3477,1998,65
549,5127,2918,86
550,6110,2404,61
551,7950,9497,51
552,2996,6322,18
553,5995,9570,23
554,9879,9695,60
555,7132,1814,52
556,5273,2811,40
557,3148,4801,100
558,6887,2134,28
559,180,74,28
560,397,9058,13
561,3332,787,35
562,3745,9213,90
563,6218,2939,42
564,906,5535,10
565,6829,3628,99
566,1766,4863,38
567,2407,9674,96
568,5458,7663,80
569,5540,3575,17
570,3524,1034,65
571,9040,7625,92
572,747,9627,20
573,1061,5411,88
574,9657,4595,17
575,5706,6764,41
576,9127,6658,64
577,3614,9910,36
578,4419,719,77
579,1766,6308,36
580,325,2318,99
581,3427,887,53
582,8798,8419,50
583,4273,6549,62
584,1019,6186,54
585,7522,7565,3
586,3285,2761,86
587,46,4029,59
588,670,3656,11
589,1173,7565,27
590,571,2675,59
591,1417,2334,28
592,7464,1649,88
593,6098,2974,93
594,7787,5638,56
595,5725,1341,28
596,1732,2074,55
597,8487,9714,86
598,8239,4865,4
599,4178,3023,55
600,9949,8364,47
601,9670,1851,17
602,242,9257,70
603,2083,3412,55
604,3332,9030,91
605,5297,5230,15
606,5553,8245,92
607,8789,966,7
608,6344,2859,81
609,7680,4281,64
610,9677,128,68
611,9534,5037,72
612,3130,8235,26
613,5379,5702,92
614,4284,5992,98
615,368,5737,57
616,5569,9017,12
617,550,5735,64
618,2082,6865,48
619,7573,8815,81
620,9488,8277,14
621,5391,7113,26
622,5179,5935,34
623,9629,3915,76
624,7361,4729,22
625,7365,4996,83
626,8172,2733,37
627,5215,9202,39
628,1225,7385,31
629,2458,59,60
630,8600,5328,7
631,5097,1110,14
632,9917,2845,84
633,4829,1933,95
634,4568,4881,49
635,9186,1339,58
636,1088,7477,47
637,5558,5273,44
638,2714,5241,49
639,2017,9158,100
640,9979,647,75
641,8205,883,17
642,7880,4650,69
643,8335,2245,59
644,4880,8281,96
645,2819,8398,25
646,4133,8385,47
647,3260,7893,89
648,1498,4131,16
649,1923,7942,58
650,1455,9366,82
651,7186,3595,32
652,9118,433,29
653,5308,5096,27
654,541,1117,40
655,789,925,31
656,5737,5804,9
657,2411,7336,77
658,7946,2755,95
659,8997,5388,92
660,2072,5165,41
661,7117,6995,83
662,6747,1877,23
663,64,975,98
664,8861,361,64
665,5147,9801,20
666,7785,1129,19
667,6769,9004,52
668,278,2255,81
669,6636,5938,54
670,432,3200,8
671,9370,3087,3
672,6921,6828,57
673,753,8012,27
674,9922,6334,89
675,3166,3704,72
676,4984,4972,22
677,2818,4815,80
678,5053,3179,11
679,733,1676,95
680,5551,1803,73
681,8900,2314,51
682,4242,3800,51
683,9103,7194,44
684,3191,7655,24
685,5409,7964,13
686,4175,3000,36
687,4456,141,76
688,6404,4331,60
689,9893,6061,46
690,3670,8331,37
691,5719,2819,81
692,7402,7713,20
693,648,5093,62
694,1259,1787,22
695,6076,3260,83
696,4507,346,10
697,8404,9440,85
698,2970,4685,66
699,5874,7213,88
700,3981,1795,96
701,1350,5598,2
702,9086,1932,15
703,6780,6111,42
704,9315,7469,24
705,5256,3095,48
706,2473,3157,39
707,6097,75,43
708,8187,9835,40
709,3054,7951,6
710,2364,7469,74
711,7924,7171,62
712,2391,6099,49
713,2471,6929,60
714,2275,9799,78
715,2601,3524,1
716,723,4766,38
717,4008,4582,63
718,8795,2089,58
719,2351,5065,61
720,8098,9010,46
721,1154,4543,26
722,4977,9092,46
723,6808,6290,10
724,9453,1752,98
725,4395,9056,25
726,9380,6124,82
727,2122,4235,52
728,6204,2182,64
729,8358,9816,93
730,1586,688,15
731,6317,2427,97
732,9116,7165,8
733,3007,3469,81
734,2915,3973,50
735,5981,6423,21
736,3072,550,42
737,6340,5280,56
738,7116,5085,88
739,287,5227,9
740,8358,6252,69
741,692,7775,42
742,1176,644,42
743,9371,4552,80
744,7274,1408,39
745,4123,7450,33
746,592,3043,2
747,177,9130,32
748,4311,9927,81
749,4180,1533,100
750,6158,7944,61
751,2266,9732,68
752,7907,8206,22
753,5657,4984,72
754,3154,6585,87
755,1153,1874,64
756,1907,3830,97
757,8028,3036,69
758,1287,2914,6
759,3883,9217,96
760,617,7114,10
761,4075,9395,25
762,4140,9802,63
763,8171,1837,18
764,8710,6585,25
765,4439,2170,19
766,9115,7911,39
767,8044,8750,99
768,3033,5235,98
769,5362,6718,74
770,9401,3577,62
771,313,8251,4
772,9672,4415,90
773,1006,4839,48
774,4639,1304,73
775,3579,6456,13
776,5685,1219,68
777,8225,7655,20
778,6819,8335,50
779,9769,4163,84
780,6389,3493,56
781,2783,8450,21
782,9997,5478,70
783,5416,3785,28
784,2452,3779,78
785,1441,1491,90
786,4663,8876,52
787,3269,9770,37
788,2312,9913,4
789,5347,301,10
790,1680,1773,58
791,9077,2328,86
792,1827,2841,1
793,9166,574,78
794,2221,5723,43
795,8952,1317,68
796,9860,1866,82
797,39,3067,56
798,3516,4203,25
799,8618,5923,76
800,6445,3772,62
801,2909,9405,90
802,2466,5365,45
803,5821,4790,94
804,5931,5150,23
805,9742,5279,25
806,5473,1609,43
807,3017,5968,72
808,1733,6886,12
809,7880,1663,42
810,6832,6717,77
811,697,6259,3
812,6412,5492,57
813,6642,8472,98
814,4713,3536,76
815,4047,9024,43
816,7379,4964,90
817,4116,9142,23
818,1075,3659,22
819,9247,3073,41
820,206,2568,26
821,4081,9177,52
822,3311,4948,6
823,2980,6946,27
824,7337,7481,48
825,8276,3547,38
826,5406,4358,76
827,1074,1689,10
828,7710,1585,95
829,4810,204,25
830,4903,1372,30
831,5756,1931,66
832,7189,818,87
833,7872,6792,47
834,9852,8361,89
835,2273,3375,89
836,6971,236,9
837,576,234,91
838,675,3877,53
839,648,2371,25
840,8251,8654,94
841,8259,9655,41
842,201,6873,56
843,8360,479,19
844,5319,1325,6
845,8387,4272,50
846,7,1644,80
847,7381,784,9
848,2119,507,6
849,6631,6124,5
850,5914,9385,26
851,4559,6651,4
852,9036,7894,45
853,8314,7345,30
854,7606,795,81
855,6392,306,59
856,6608,9494,42
857,3596,5788,46
858,5019,7852,59
859,3559,739,54
860,709,7942,12
861,5457,4032,95
862,7967,1847,69
863,5697,1699,36
864,4394,1860,43
865,1902,8926,53
866,6551,2695,32
867,2826,2148,87
868,130,8912,50
869,72,6289,55
870,7524,4294,81
871,4824,5574,52
872,8961,3612,49
873,1739,7059,45
874,1496,4246,56
875,2528,7998,51
876,7266,6303,43
877,7499,844,49
878,8100,2431,43
879,5172,3257,9
880,9419,6013,46
881,65,5537,65
882,9735,6289,36
883,2080,3356,100
884,5048,1585,21
885,2223,448,56
886,6808,3647,45
887,4492,3026,68
888,9285,9342,50
889,4070,3124,87
890,907,1048,15
891,8149,570,55
892,7520,9828,91
893,7471,2683,10
894,1127,9232,72
895,544,9918,67
896,9519,716,16
897,7026,993,29
898,7828,8029,16
899,7063,112,6
900,6180,1558,25
901,1407,3132,56
902,6125,694,42
903,4653,2289,30
904,8830,9558,68
905,4518,6171,31
906,3953,839,14
907,5607,78,67
908,1376,4028,99
909,671,8325,50
910,8813,271,98
911,9766,5167,31
912,1688,7908,42
913,208,6633,14
914,5662,4930,60
915,8581,1646,40
916,1568,7820,6
917,285,8851,11
918,6543,1690,74
919,9137,7842,97
920,6506,8669,51
921,8717,4014,29
922,6475,1623,77
923,7158,8932,60
924,6640,8153,18
925,3873,2259,57
926,6440,4071,50
927,6078,3024,80
928,6969,1591,95
929,2594,2557,72
930,8063,8137,88
931,844,150,59
932,7993,94,40
933,2930,2052,59
934,8448,8162,97
935,7729,7856,22
936,9039,8172,9
937,774,1968,41
938,1655,5098,40
939,8532,4409,55
940,8150,9550,82
941,5851,2253,4
942,3498,9881,64
943,7791,2853,60
944,5279,1942,98
945,5169,7872,52
946,5883,8257,15
947,2754,6566,6
948,5257,9115,11
949,9848,4533,95
950,1823,4265,3
951,8546,1294,60
952,391,6334,27
953,2419,871,70
954,4841,5034,32
955,1601,965,92
956,2913,4852,41
957,8541,1388,66
958,5427,5146,13
959,7117,2186,95
960,9867,4948,39
961,8127,4974,36
962,8204,2041,1
963,37,2264,76
964,4166,615,8
965,3751,5735,4
966,2399,4442,94
967,2327,8444,49
968,9589,5669,3
969,3765,5412,95
970,5283,9709,56
971,7905,6777,20
972,9247,5083,87
973,2435,2783,58
974,1707,6023,22
975,6850,8671,50
976,4342,9657,68
977,937,746,10
978,8200,8556,53
979,4006,1101,39
980,2405,9686,24
981,4226,8689,61
982,410,3298,53
983,4973,3783,48
984,3186,5611,5
985,9566,6327,29
986,3194,1316,26
987,7646,6555,58
988,3904,9761,69
989,3936,2439,22
990,7563,1549,34
991,7093,3973,29
992,7239,4171,14
993,3651,127,33
994,2275,8449,32
995,6453,4004,27
996,4229,8569,82
997,2576,1434,87
998,40,4506,70
999,3490,2079,51
1000,2975,3113,5
1001,3315,4178,59
1002,3017,1062,20
1003,18,7695,58
1004,9542,5915,100
1005,8344,1861,49
1006,3197,9890,7
1007,1940,3107,61
1008,7871,5201,97
1009,9150,5563,63
1010,6364,7703,59
1011,7607,6824,95
1012,1250,302,32
1013,4868,1214,1
1014,8463,3664,34
1015,6953,6382,98
1016,6969,9266,83
1017,3814,614,99
1018,4528,9082,58
1019,2930,405,30
1020,8708,7971,100
1021,295,8396,11
1022,631,2214,24
1023,1541,1651,100
1024,4338,7887,51
1025,8552,8967,9
1026,4165,1280,44
1027,8059,7287,53
1028,4556,8536,28
1029,4835,558,53
1030,8330,6950,95
1031,3920,8624,10
1032,5335,1873,88
1033,2260,5636,48
1034,6126,1415,87
1035,8644,6457,49
1036,4974,2764,85
1037,9556,4793,93
1038,9839,9851,24
1039,6805,5360,58
1040,7315,9012,27
1041,3501,3072,5
1042,4122,2139,16
1043,1978,1573,41
1044,5248,6411,90
1045,5557,4743,72
1046,9390,1293,68
1047,8683,6143,6
1048,991,7632,59
1049,1880,9271,42
1050,3905,4298,69
1051,233,5443,2
1052,9705,3259,43
1053,3823,2393,27
1054,4614,5341,45
1055,321,4497,27
1056,2445,3098,86
1057,1821,1310,75
1058,2580,7758,41
1059,6716,2254,9
1060,1095,5661,92
1061,2385,8232,71
1062,8295,1102,81
1063,702,8555,84
1064,2140,214,31
1065,8795,6813,90
1066,9711,1095,95
1067,8078,6763,59
1068,5391,7645,66
1069,550,8823,9
1070,5960,4905,68
1071,6692,4434,27
1072,4091,5185,52
1073,2207,7002,11
1074,2366,4956,46
1075,9781,7912,10
1076,1632,4554,15
1077,4578,3886,96
1078,7297,982,21
1079,1169,3707,77
1080,9632,8360,10
1081,3843,313,87
1082,2553,7406,11
1083,9066,5314,15
1084,4136,5867,100
1085,2015,2329,24
1086,2052,8473,9
1087,9601,4973,91
1088,8925,1630,12
1089,46,9850,32
1090,1691,3256,29
1091,3354,638,49
1092,9427,6315,58
1093,4444,6177,47
1094,4744,7759,32
1095,1572,5264,84
1096,5371,4500,89
1097,3779,7926,26
1098,2470,5563,7
1099,5334,936,16
1100,6576,460,48
1101,9485,5612,11
1102,4121,1,66
1103,1953,4169,14
1104,9178,2752,24
1105,7466,7889,91
1106,8715,1257,56
1107,7958,2606,25
1108,8568,1490,73
1109,1323,4689,5
1110,3803,2793,74
1111,7879,4413,68
1112,5859,6281,20
1113,6789,1360,63
1114,6549,300,4
1115,1965,2934,75
1116,6837,2260,98
1117,6182,3131,45
1118,9813,9782,49
1119,8898,8054,84
1120,611,4266,39
1121,2394,7310,38
1122,196,7404,85
1123,6668,6802,6
1124,1393,8111,43
1125,2988,9037,66
1126,7785,7865,26
1127,784,3262,82
1128,1974,6957,96
1129,5815,4059,26
1130,5715,1267,62
1131,6304,8141,8
1132,8896,9308,82
1133,2567,7929,55
1134,2140,4708,100
1135,7933,6966,87
1136,6983,1902,78
1137,8603,5314,69
1138,9303,7939,52
1139,8331,99,71
1140,5986,9237,35
1141,8654,243,74
1142,9745,4408,56
1143,3470,8137,47
1144,5962,1056,18
1145,4268,4237,27
1146,3026,4741,20
1147,7419,3593,58
1148,2423,4113,99
1149,1971,9363,60
1150,251,6670,47
1151,3460,8980,41
1152,2500,9646,24
1153,3413,4619,60
1154,4748,2810,99
1155,7484,5976,12
1156,5841,5985,18
1157,2786,4782,100
1158,4122,1420,58
1159,9002,6028,48
1160,4715,5730,92
1161,6160,4983,40
1162,4506,6865,24
1163,4912,7541,14
1164,6134,1498,27
1165,1504,1505,77
1166,5393,8437,53
1167,7306,7243,93
1168,5196,400,86
1169,3274,2921,4
1170,4370,6357,93
1171,7252,2748,48
1172,1801,5323,92
1173,7653,4316,70
1174,8315,8607,6
1175,9071,6431,15
1176,4253,8113,22
1177,2758,3414,62
1178,1892,8600,52
1179,442,7955,24
1180,1171,6606,47
1181,7793,7842,17
1182,5057,130,2
1183,9539,8924,25
1184,3920,2004,17
1185,2937,7351,80
1186,4984,2084,6
1187,6998,2960,79
1188,5004,5806,44
1189,4269,1079,98
1190,7052,4188,53
1191,8608,9592,20
1192,1690,9089,9
1193,481,4989,53
1194,2418,6866,56
1195,3463,7079,14
1196,6523,6105,57
1197,1136,7893,31
1198,2489,6820,19
1199,2568,3727,13
1200,2956,3308,93
1201,6011,7936,67
1202,7521,6559,100
1203,8251,1404,64
1204,7899,538,58
1205,8449,9460,50
1206,2792,6216,11
1207,4594,9497,91
1208,2638,9748,67
1209,7075,416,3
1210,5881,9095,38
1211,1935,6127,17
1212,4434,3493,52
1213,9226,8966,13
1214,6030,3399,61
1215,4418,1430,24
1216,267,6122,2
1217,8666,7516,80
1218,2212,5968,68
1219,4974,9243,53
1220,7950,2408,11
1221,9353,4975,44
1222,2755,7425,60
1223,6827,7708,95
1224,599,3726,91
1225,8331,5694,11
1226,2854,8790,63
1227,5190,6889,16
1228,4064,5663,47
1229,2261,8288,47
1230,4210,7447,70
1231,2228,4401,16
1232,8813,7514,34
1233,5135,112,43
1234,5756,1301,93
1235,2850,5776,71
1236,2947,5558,30
1237,6222,5420,81
1238,1608,7717,11
1239,7729,7584,78
1240,6805,7911,35
1241,2410,7570,5
1242,9048,1815,20
1243,4376,8802,92
1244,9726,8137,84
1245,8886,3260,98
1246,9617,4174,40
1247,8065,1272,10
1248,7474,9707,25
1249,7803,9476,46
1250,3020,5852,81
1251,7851,1437,54
1252,6017,4651,37
1253,2297,4519,77
1254,465,850,29
1255,9207,2851,53
1256,7629,3272,44
1257,1367,9683,73
1258,1895,2330,58
1259,9159,9409,91
1260,8883,7928,4
1261,8170,7197,92
1262,3964,1899,47
1263,5416,756,30
1264,4070,7889,29
1265,4257,7139,48
1266,9619,3975,45
1267,8600,3018,76
1268,5709,8296,60
1269,1734,1379,83
1270,6174,4132,51
1271,9878,4008,1
1272,1723,178,66
1273,3191,3104,38
1274,8347,4540,77
1275,8227,4412,57
1276,7949,9507,88
1277,421,5367,45
1278,6734,8498,9
1279,8671,7481,77
1280,4805,4004,48
1281,1038,4105,77
1282,8787,4437,63
1283,1529,4349,58
1284,6871,7658,6
1285,3817,6826,48
1286,9528,5471,12
1287,7307,7012,58
1288,6702,9995,22
1289,9395,6750,21
1290,2767,5418,41
1291,6861,4741,42
1292,8981,4176,3
1293,5990,2324,49
1294,2718,5253,6
1295,2128,255,15
1296,18,5516,22
1297,3092,2769,8
1298,6147,4064,91
1299,5605,3480,66
1300,8748,8614,99
1301,7276,6514,49
1302,1569,9904,68
1303,7418,8073,89
1304,6079,5461,33
1305,957,6071,1
1306,511,3867,92
1307,6509,4619,71
1308,2551,5234,59
1309,4794,2044,15
1310,2672,2719,39
1311,3926,323,69
1312,5588,5897,93
1313,337,9640,4
1314,2871,7686,68
1315,1572,4302,90
1316,9606,9427,27
1317,2644,9087,88
1318,8589,6567,3
1319,26,9415,97
1320,8512,4650,73
1321,7531,8902,34
1322,5902,1862,14
1323,933,265,45
1324,3520,1593,87
1325,7429,4440,26
1326,1847,1398,42
1327,6507,4245,7
1328,3110,8371,45
1329,4989,3417,44
1330,9272,1641,28
1331,8886,7792,97
1332,8031,683,54
1333,4349,3893,69
1334,4097,9453,87
1335,1008,382,19
1336,9813,8636,84
1337,5284,844,71
1338,2595,9029,36
1339,2635,8577,91
1340,9877,5535,100
1341,8400,7856,56
1342,6331,2365,68
1343,901,1084,54
1344,4000,5982,18
1345,3736,7579,36
1346,7664,5368,20
1347,1731,5973,60
1348,5316,9580,25
1349,8382,4433,90
1350,3063,6135,27
1351,8253,318,76
1352,4703,8845,37
1353,1545,9208,51
1354,1244,1258,56
1355,7120,685,47
1356,6455,3536,27
1357,5999,257,45
1358,8709,943,37
1359,8328,4456,98
1360,6584,6911,14
1361,2591,1312,31
1362,1206,7954,48
1363,950,8213,8
1364,2557,810,86
1365,1361,1913,100
1366,6935,5466,16
1367,5505,7568,98
1368,4536,140,42
1369,5259,2506,83
1370,4801,5005,5
1371,1296,5625,83
1372,6827,8317,35
1373,7871,6769,27
1374,9844,5457,2
1375,3997,1898,96
1376,5036,1820,33
1377,7275,9273,41
1378,7685,6162,14
1379,9416,7633,80
1380,4167,409,37
1381,2532,895,43
1382,7091,7210,2
1383,2183,1094,25
1384,5652,9732,36
1385,1058,8501,7
1386,3590,9074,85
1387,7825,3142,43
